Cond1,Cond2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,DogImage.started,DogImage.stopped,DogImage2.started,DogImage2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
dog/3.jpg,dog/6.jpg,0,0,0,6,8.068340077064931,None,11.188514843117446,None,11.188514843117446,None,None,11.188514843117446,None,11.188514843117446,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/5.jpg,dog/4.jpg,0,1,1,8,,,14.119945771060884,None,14.119945771060884,None,None,14.119945771060884,None,14.119945771060884,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/1.jpg,dog/4.jpg,0,2,2,3,,,17.12064340012148,None,17.12064340012148,None,None,17.12064340012148,None,17.12064340012148,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/3.jpg,dog/2.jpg,0,3,3,5,,,20.122860746923834,None,20.122860746923834,None,None,20.122860746923834,None,20.122860746923834,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/3.jpg,dog/4.jpg,0,4,4,1,,,23.109746519941837,None,23.109746519941837,None,None,23.109746519941837,None,23.109746519941837,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/1.jpg,dog/6.jpg,0,5,5,4,,,26.11535120010376,None,26.11535120010376,None,None,26.11535120010376,None,26.11535120010376,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/5.jpg,dog/2.jpg,0,6,6,7,,,29.127067822031677,None,29.127067822031677,None,None,29.127067822031677,None,29.127067822031677,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/1.jpg,dog/2.jpg,0,7,7,0,,,32.111692141974345,None,32.111692141974345,None,None,32.111692141974345,None,32.111692141974345,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
dog/5.jpg,dog/6.jpg,0,8,8,2,,,35.129762679105625,None,35.129762679105625,None,None,35.129762679105625,None,35.129762679105625,None,1,001,2019_Nov_26_0902,Step2_Loopit,3.2.4,59.855471946618586,
