dog,Cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,DogImage.started,DogImage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,DogImage2.started,DogImage2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
dog/4.jpg,b,0,0,0,3,8.343374657910317,None,11.479761727852747,12.491253760876134,a,11.147750134114176,11.479761727852747,None,11.479761727852747,12.491253760876134,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/2.jpg,b,0,1,1,1,,,22.717682688962668,None,d,0.46401620795950294,22.717682688962668,None,22.717682688962668,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/3.jpg,a,0,2,2,2,,,23.260262002935633,None,d,0.8741461839526892,23.260262002935633,None,23.260262002935633,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/6.jpg,b,0,3,3,5,,,24.23516001086682,None,d,0.27748561510816216,24.23516001086682,None,24.23516001086682,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/1.jpg,a,0,4,4,0,,,24.578377822879702,None,d,0.21044622804038227,24.578377822879702,None,24.578377822879702,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/5.jpg,a,0,5,5,4,,,24.881859170040116,None,d,0.21250285697169602,24.881859170040116,None,24.881859170040116,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/2.jpg,b,1,0,6,1,,,25.17856746003963,None,d,0.2247768121305853,25.17856746003963,None,25.17856746003963,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/1.jpg,a,1,1,7,0,,,25.47059524897486,None,d,0.17811545403674245,25.47059524897486,None,25.47059524897486,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/4.jpg,b,1,2,8,3,,,25.731302446918562,None,d,0.14424420101568103,25.731302446918562,None,25.731302446918562,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/6.jpg,b,1,3,9,5,,,25.953748989850283,None,d,0.16363321407698095,25.953748989850283,None,25.953748989850283,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/3.jpg,a,1,4,10,2,,,26.194219038821757,None,d,0.13232273794710636,26.194219038821757,None,26.194219038821757,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/5.jpg,a,1,5,11,4,,,26.404441199963912,None,d,0.40822314098477364,26.404441199963912,None,26.404441199963912,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/6.jpg,b,2,0,12,5,,,26.88409322896041,None,d,0.12527490500360727,26.88409322896041,None,26.88409322896041,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/5.jpg,a,2,1,13,4,,,27.084929066011682,None,d,0.1207398280967027,27.084929066011682,None,27.084929066011682,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/1.jpg,a,2,2,14,0,,,27.282072332920507,None,d,0.2504894989542663,27.282072332920507,None,27.282072332920507,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/3.jpg,a,2,3,15,2,,,27.59532534284517,None,d,0.16124040307477117,27.59532534284517,None,27.59532534284517,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/4.jpg,b,2,4,16,3,,,27.829887961037457,None,d,0.1365458939690143,27.829887961037457,None,27.829887961037457,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
dog/2.jpg,b,2,5,17,1,,,28.045517562888563,None,d,0.13964064605534077,28.045517562888563,None,28.045517562888563,None,1,001,2019_Nov_26_0847,Step2_Loopit,3.2.4,59.96422061985125,
