dog,Cond,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,InstructionText.started,InstructionText.stopped,DogImage.started,DogImage.stopped,DogImage2.started,DogImage2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
dog/4.jpg,b,0,0,0,3,8.761794036021456,None,11.897715077036992,12.913179850904271,11.897715077036992,12.913179850904271,a,4.738414636114612,11.897715077036992,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/6.jpg,b,0,1,1,5,,,16.731973085086793,None,16.731973085086793,None,a,0.6831790970172733,16.731973085086793,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/1.jpg,a,0,2,2,0,,,17.49819283001125,None,17.49819283001125,None,a,0.390857266029343,17.49819283001125,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/3.jpg,a,0,3,3,2,,,17.964807906886563,None,17.964807906886563,None,a,0.2774190530180931,17.964807906886563,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/2.jpg,b,0,4,4,1,,,18.333347347099334,None,18.333347347099334,None,a,0.21257811784744263,18.333347347099334,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/5.jpg,a,0,5,5,4,,,18.621890344889835,None,18.621890344889835,None,a,0.19001427292823792,18.621890344889835,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/5.jpg,a,1,0,6,4,,,18.89894298207946,None,18.89894298207946,None,a,0.15202215500175953,18.89894298207946,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/2.jpg,b,1,1,7,1,,,19.13210639404133,None,19.13210639404133,None,a,0.17974574398249388,19.13210639404133,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/3.jpg,a,1,2,8,2,,,19.38261133991182,20.383276130072773,19.38261133991182,20.383276130072773,a,1.435157233150676,19.38261133991182,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/4.jpg,b,1,3,9,3,,,20.900414529955015,None,20.900414529955015,None,a,0.37635572301223874,20.900414529955015,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/6.jpg,b,1,4,10,5,,,21.35341571387835,None,21.35341571387835,None,a,0.23161529493518174,21.35341571387835,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/1.jpg,a,1,5,11,0,,,21.6503082299605,None,21.6503082299605,None,a,0.2148031599353999,21.6503082299605,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/2.jpg,b,2,0,12,1,,,21.93360492005013,None,21.93360492005013,None,a,0.22624023212119937,21.93360492005013,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/5.jpg,a,2,1,13,4,,,22.238099105888978,None,22.238099105888978,None,a,0.17874806188046932,22.238099105888978,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/6.jpg,b,2,2,14,5,,,22.505371080012992,None,22.505371080012992,None,a,0.20655933301895857,22.505371080012992,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/3.jpg,a,2,3,15,2,,,22.783790932036936,None,22.783790932036936,None,a,0.20611642603762448,22.783790932036936,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/4.jpg,b,2,4,16,3,,,23.07444921392016,None,23.07444921392016,None,a,0.2584355818107724,23.07444921392016,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
dog/1.jpg,a,2,5,17,0,,,23.3944145119749,None,23.3944145119749,None,a,0.24524060799740255,23.3944145119749,None,1,001,2019_Nov_26_0849,Step2_Loopit,3.2.4,59.99068057584815,
